id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_score,imdb_votes
tm188142,Mob Stories,MOVIE,1993,,60,"['crime', 'documentation']",['US'],7.2,90
tm657533,Chez Whoopi,MOVIE,1991,,56,['comedy'],['US'],4.6,11
tm452231,Fists of Freedom: The Story of the '68 Summer Games,MOVIE,1999,,59,"['documentation', 'history', 'sport']",['US'],7.6,97
tm1041075,Nichols and May: Take Two,MOVIE,1996,,55,['documentation'],[],,
tm364869,Nagano ’98 Olympics: Stories of Honor and Glory,MOVIE,1998,,119,"['documentation', 'sport']",['US'],7,55
tm371066,D.L. Hughley: Going Home,MOVIE,1999,,57,"['comedy', 'documentation']",['US'],7.3,116
tm256444,Lock-Up: The Prisoners of Rikers Island,MOVIE,1994,,75,"['documentation', 'crime']",['US'],7.6,191
tm908766,Abortion: Desperate Choices,MOVIE,1992,,67,['documentation'],['US'],,
tm47280,City Dump: The Story of the 1951 CCNY Basketball Scandal,MOVIE,1998,,57,"['documentation', 'history', 'sport']",['US'],7.4,52
tm1219154,Someone Had to Be Benny,MOVIE,1996,,46,['documentation'],[],,
tm60789,Babe Ruth,MOVIE,1998,,60,"['documentation', 'sport']",['US'],7.3,228
tm364859,Lillehammer ’94: 16 Days of Glory,MOVIE,1994,,209,"['documentation', 'sport']",['US'],7.3,82
ts12,The Big Bang Theory,SHOW,2007,TV-14,20,"['comedy', 'romance']",['US'],8.2,820662
ts22047,The Wire,SHOW,2002,TV-MA,59,"['drama', 'crime', 'thriller']",['US'],9.3,346806
ts20536,Fringe,SHOW,2008,TV-14,48,"['scifi', 'drama', 'thriller']",['US'],8.4,246148
ts6410,Doctor Who,SHOW,2005,TV-Y7-FV,49,"['family', 'drama', 'scifi', 'european']","['GB', 'US']",8.6,229244
ts17149,Band of Brothers,SHOW,2001,TV-MA,59,"['drama', 'war', 'history', 'action']",['US'],9.4,477321
tm111828,Catch Me If You Can,MOVIE,2002,PG-13,141,"['drama', 'crime']",['US'],8.1,1003069
ts20371,Top Gear,SHOW,2002,TV-PG,58,"['comedy', 'reality', 'european', 'music']",['GB'],8.7,120892
ts6457,Chuck,SHOW,2007,TV-14,43,"['comedy', 'drama', 'action']",['US'],8.2,134647
tm44313,The Lord of the Rings: The Fellowship of the Ring,MOVIE,2001,PG-13,178,"['fantasy', 'action', 'drama']","['NZ', 'US']",8.8,1895545
ts14772,Boardwalk Empire,SHOW,2010,TV-MA,56,"['drama', 'history', 'crime']",['US'],8.6,192784
tm68666,No Country for Old Men,MOVIE,2007,R,122,"['drama', 'thriller', 'crime']",['US'],8.2,988081
tm27911,The Departed,MOVIE,2006,R,151,"['drama', 'thriller', 'crime', 'action']","['HK', 'US']",8.5,1340039
ts21218,The Mentalist,SHOW,2008,TV-14,44,"['drama', 'crime', 'thriller']",['US'],8.1,188659
ts21247,The Vampire Diaries,SHOW,2009,TV-14,42,"['drama', 'scifi', 'thriller', 'fantasy', 'horror', 'romance']",['US'],7.7,327550
ts13023,Deadwood,SHOW,2004,TV-MA,53,"['western', 'drama', 'crime', 'history']",['US'],8.6,109883
ts20566,True Blood,SHOW,2008,TV-MA,54,"['scifi', 'drama', 'fantasy', 'horror', 'romance', 'thriller']",['US'],7.6,149
tm72529,Superbad,MOVIE,2007,R,113,['comedy'],['US'],7.6,592135
tm56184,The Dark Knight,MOVIE,2008,PG-13,152,"['drama', 'thriller', 'action', 'crime']","['GB', 'US']",9,2684317
tm115633,Signs,MOVIE,2002,PG-13,106,"['drama', 'thriller', 'scifi']",['US'],6.8,369602
tm51923,Donnie Darko,MOVIE,2001,R,113,"['drama', 'thriller', 'fantasy', 'scifi']",['US'],8,811766
ts22363,Rome,SHOW,2005,TV-MA,54,"['action', 'drama', 'romance', 'war', 'history', 'european']",['US'],8.7,174789
